Gene	Expected	Observed
ENSG00000000003.10|TSPAN6	19.1990729013944	26
ENSG00000000005.5|TNMD	32.0982279031079	33
ENSG00000000419.8|DPM1	1.70692923631996	1
ENSG00000000457.9|SCYL3	121.547039650726	121
ENSG00000000460.12|C1orf112	136.637498526895	133
ENSG00000000938.8|FGR	94.8703319505679	79
ENSG00000000971.11|CFH	259.188862325163	240
ENSG00000001036.9|FUCA2	69.767982616862	81
ENSG00000001084.6|GCLC	85.2488125431899	65
ENSG00000001167.10|NFYA	58.1377455185566	65
ENSG00000001460.13|STPG1	24.4598112289069	20
ENSG00000001461.12|NIPAL3	50.688259186637	64
ENSG00000001497.12|LAS1L	94.5121774252632	76
ENSG00000001561.6|ENPP4	82.5473284435671	72
ENSG00000001617.7|SEMA3F	129.941337758785	128
ENSG00000001626.10|CFTR	230.80574452466	214
ENSG00000001629.5|ANKIB1	172.588488077612	138
ENSG00000001630.11|CYP51A1	46.5985161523812	49
ENSG00000001631.10|KRIT1	133.370580748507	124
ENSG00000002016.12|RAD52	65.7427124340692	66
ENSG00000002330.9|BAD	12.0669395355416	13
ENSG00000002549.8|LAP3	89.063228123954	95
ENSG00000002586.13|CD99	29.3950839995396	22
ENSG00000002587.5|HS3ST1	68.0124678790269	53
ENSG00000002726.15|AOC1	140.632183933437	138
ENSG00000002745.8|WNT16	73.7226375534275	68
ENSG00000002746.10|HECW1	256.25952145661	251
ENSG00000002822.11|MAD1L1	147.007721544117	139
ENSG00000002834.13|LASP1	36.3541271804469	38
ENSG00000002919.10|SNX11	47.6632301175636	41
ENSG00000002933.3|TMEM176A	41.9745303039947	50
ENSG00000003056.3|M6PR	33.3797898318701	29
ENSG00000003096.9|KLHL13	92.4523254941832	77
ENSG00000003137.4|CYP26B1	100.163052071408	109
ENSG00000003147.13|ICA1	97.5182645340498	85
ENSG00000003249.9|DBNDD1	37.1743602567967	36
ENSG00000003393.10|ALS2	321.94590589938	291
ENSG00000003400.10|CASP10	101.367323210557	105
ENSG00000003402.15|CFLAR	86.2247405490097	73
ENSG00000003436.10|TFPI	49.9325757442291	51
ENSG00000003509.11|NDUFAF7	101.86892802525	90
ENSG00000003756.12|RBM5	124.343646030795	114
ENSG00000003987.9|MTMR7	166.483843266206	154
ENSG00000003989.12|SLC7A2	181.975776403699	155
ENSG00000004059.6|ARF5	30.0607677762424	29
ENSG00000004399.8|PLXND1	242.022048749771	254
ENSG00000004455.12|AK2	42.260872727099	51
ENSG00000004468.8|CD38	45.9402982826056	37
ENSG00000004478.5|FKBP4	63.6125718241394	73
ENSG00000004487.11|KDM1A	117.651914767798	113
ENSG00000004534.10|RBM6	187.76260799381	163
ENSG00000004660.10|CAMKK1	117.540591792756	84
ENSG00000004700.11|RECQL	93.409289338917	111
ENSG00000004766.11|CCDC132	71.1701391690297	87
ENSG00000004776.7|HSPB6	14.4896490215984	16
ENSG00000004777.14|ARHGAP33	248.304787896179	241
ENSG00000004779.5|NDUFAB1	19.6289406743443	25
ENSG00000004799.7|PDK4	69.4397455941166	85
ENSG00000004809.9|SLC22A16	108.423247004997	111
ENSG00000004838.9|ZMYND10	90.8595789259227	70
ENSG00000004846.12|ABCB5	243.828407401553	243
ENSG00000004848.6|ARX	31.752222814971	30
ENSG00000004864.9|SLC25A13	133.204564545732	119
ENSG00000004866.14|ST7	94.2560194025552	101
ENSG00000004897.7|CDC27	95.2071248346072	107
ENSG00000004939.9|SLC4A1	204.009501457477	182
ENSG00000004948.9|CALCR	87.970730031668	84
ENSG00000004961.10|HCCS	35.8320369479551	29
ENSG00000004975.7|DVL2	142.814439144757	162
ENSG00000005001.5|PRSS22	68.1160388103325	63
ENSG00000005007.8|UPF1	193.227632687813	215
ENSG00000005020.8|SKAP2	56.0153515632422	63
ENSG00000005022.5|SLC25A5	37.9170982379845	29
ENSG00000005059.11|CCDC109B	42.9562053086124	49
