ensembl_id	gene	UNEECON-G	pLI	mis-z	RVIS	GDI	disease_or_essential_gene
ENSG00000001461	NIPAL3	0.125419	0.0032956	0.94214	0.282012075	-56.32941	FALSE
ENSG00000001631	KRIT1	0.322254	0.18269	0.92499	1.083515083	-57.40188	TRUE
ENSG00000002587	HS3ST1	0.29191	0.45504	0.55769	0.379011759	-285.43597	FALSE
ENSG00000003400	CASP10	0.041486	3.7105e-14	0.091524	0.057085608	-615.62717	TRUE
ENSG00000004939	SLC4A1	0.267995	0.79885	1.6488	-0.659884428	-702.26691	TRUE
ENSG00000005001	PRSS22	0.224085	0.012666	0.78464	0.238273312	-43.42765	FALSE
ENSG00000005073	HOXA11	0.250274	0.12945	0.75151	-0.187689376	-37.83874	TRUE
ENSG00000005339	CREBBP	0.582242	0.98881	0.86024	4.226101807	-350.49854	TRUE
ENSG00000005421	PON1	0.146044	1.1575e-08	0.7872	-1.044013349	-1431.12238	TRUE
ENSG00000006638	TBXA2R	0.109952	0.052469	0.1781	-0.656453753	-164.53131	TRUE
ENSG00000006704	GTF2IRD1	0.280501	0.81116	2.7965	1.304287838	-101.42808	FALSE
ENSG00000006788	MYH13	0.043485	5.1626e-40	0.26633	-2.153672925	-5547.032	FALSE
ENSG00000006837	CDKL3	0.05589	1.1522e-06	0.0096366	-0.746740499	-99.29071	FALSE
ENSG00000007168	PAFAH1B1	0.656821	0.89661	3.6662	0.48804202	-4.95413	TRUE
ENSG00000007314	SCN4A	0.281241	0.63168	1.7113	0.014940635	-461.6219	TRUE
ENSG00000007350	TKTL1	0.191789	0.26109	-0.86462	1.79596805	-66.90862	FALSE
ENSG00000008196	TFAP2B	0.403031	0.99143	1.5061	0.68001827	-28.34617	TRUE
ENSG00000008405	CRY1	0.303883	0.19103	0.68538	1.123348625	-20.79741	FALSE
ENSG00000008516	MMP25	0.040397	2.3899e-12	-0.72827	-0.177683254	-647.31237	FALSE
ENSG00000008710	PKD1	0.097431	0.97287	-3.7199	-4.110631875	-3055.5228	TRUE
ENSG00000009413	REV3L	0.261281	1	2.7874	2.252925116	-1709.50934	FALSE
ENSG00000010610	CD4	0.164442	0.0071803	0.30889	-0.601465648	-186.18673	TRUE
ENSG00000011465	DCN	0.285892	0.23191	0.99801	0.539276683	-179.81271	TRUE
ENSG00000012048	BRCA1	0.114114	0.0043758	0.99484	0.546858258	-3823.01219	TRUE
ENSG00000013563	DNASE1L1	0.129961	0.19687	0.090859	-0.094346872	-48.03027	FALSE
ENSG00000014824	SLC30A9	0.230614	1.0663e-05	1.9115	0.372296227	-64.38665	FALSE
ENSG00000015413	DPEP1	0.122902	0.0026842	-0.99298	-0.173152972	-499.50349	FALSE
ENSG00000015479	MATR3	0.415389	0.99786	0.49131	1.462042578	-27.25144	TRUE
ENSG00000017260	ATP2C1	0.380215	0.99996	0.85587	1.145220801	-603.64769	TRUE
ENSG00000018510	AGPS	0.534587	0.93565	3.4607	0.819200948	-14.28274	FALSE
ENSG00000018625	ATP1A2	0.578766	0.00092572	4.953	1.923592384	-48.50463	TRUE
ENSG00000021574	SPAST	0.427471	0.99896	1.5147	0.2563941	-38.40565	TRUE
ENSG00000021852	C8B	0.132041	5.6173e-17	-0.69116	-0.898569355	-596.12337	TRUE
ENSG00000022556	NLRP2	0.079993	6.9612e-09	-0.66129	-1.922618542	-1690.10482	FALSE
ENSG00000025796	SEC63	0.371311	0.0052082	2.3467	0.831385985	-221.36898	TRUE
ENSG00000026025	VIM	0.369002	0.78494	0.34246	0.689078349	-26.03407	TRUE
ENSG00000026103	FAS	0.32335	0.71352	1.3141	-0.311088467	-115.58745	TRUE
