ensembl_id	gene	UNEECON-G	pLI
ENSG00000000003	TSPAN6	0.098656	6.3735e-02
ENSG00000000005	TNMD	0.182126	2.6469e-03
ENSG00000000419	DPM1	0.255389	6.4373e-06
ENSG00000000457	SCYL3	0.149153	7.2119e-01
ENSG00000000460	C1orf112	0.099038	1.3955e-03
ENSG00000000938	FGR	0.302737	5.3800e-01
ENSG00000000971	CFH	0.283098	6.7759e-01
ENSG00000001036	FUCA2	0.092997	5.9684e-05
ENSG00000001084	GCLC	0.434059	3.5625e-01
ENSG00000001167	NFYA	0.526733	2.0648e-01
ENSG00000001460	STPG1	0.038292	1.1302e-09
ENSG00000001461	NIPAL3	0.125419	3.2956e-03
ENSG00000001497	LAS1L	0.522129	3.6362e-01
ENSG00000001561	ENPP4	0.215572	8.1832e-02
ENSG00000001617	SEMA3F	0.418516	9.8999e-01
ENSG00000001626	CFTR	0.007891	4.0546e-03
ENSG00000001629	ANKIB1	0.445535	6.3982e-01
ENSG00000001630	CYP51A1	0.126521	2.5648e-05
ENSG00000001631	KRIT1	0.322254	1.8269e-01
ENSG00000002016	RAD52	0.127879	6.7212e-04
ENSG00000002330	BAD	0.033583	8.7528e-03
ENSG00000002549	LAP3	0.230367	1.1351e-07
ENSG00000002586	CD99	0.037761	4.0708e-02
ENSG00000002587	HS3ST1	0.291910	4.5504e-01
ENSG00000002726	AOC1	0.103401	5.4442e-08
ENSG00000002745	WNT16	0.118714	1.7320e-06
ENSG00000002746	HECW1	0.332152	1.0000e+00
ENSG00000002822	MAD1L1	0.133421	5.4082e-03
ENSG00000002834	LASP1	0.546626	5.1124e-01
ENSG00000002919	SNX11	0.112491	6.6101e-07
ENSG00000002933	TMEM176A	0.070144	9.2773e-03
ENSG00000003056	M6PR	0.271650	3.0754e-01
ENSG00000003096	KLHL13	0.491653	5.9687e-02
ENSG00000003137	CYP26B1	0.242876	9.8609e-01
ENSG00000003147	ICA1	0.335852	1.2045e-02
ENSG00000003249	DBNDD1	0.132337	8.6842e-05
ENSG00000003393	ALS2	0.205108	4.0988e-01
ENSG00000003400	CASP10	0.041486	3.7105e-14
ENSG00000003402	CFLAR	0.376345	7.8584e-01
ENSG00000003436	TFPI	0.180675	5.5504e-01
ENSG00000003509	NDUFAF7	0.122813	3.0687e-13
