ensembl_id	gene	UNEECON-G	pLI	mis-z	RVIS	GDI	disease_or_essential_gene
ENSG00000000005	TNMD	0.182126	0.0026469	0.84287	0.263249672	-34.34833	FALSE
ENSG00000000460	C1orf112	0.099038	0.0013955	0.96037	0.896220862	-683.3862	FALSE
ENSG00000001084	GCLC	0.434059	0.35625	-0.08786	0.417438547	-93.14803	TRUE
ENSG00000001167	NFYA	0.526733	0.20648	2.9902	0.451177568	-18.86158	TRUE
ENSG00000001626	CFTR	0.007891	0.0040546	-0.96116	-1.571750997	-637.50803	TRUE
ENSG00000001629	ANKIB1	0.445535	0.63982	3.4442	-0.396678246	-2919.04971	FALSE
ENSG00000001630	CYP51A1	0.126521	2.5648e-05	0.9524	0.417438547	-73.36532	TRUE
ENSG00000001631	KRIT1	0.322254	0.18269	0.92499	1.083515083	-57.40188	TRUE
ENSG00000002330	BAD	0.033583	0.0087528	0.75153	-0.18925473	-10.31085	FALSE
ENSG00000002587	HS3ST1	0.29191	0.45504	0.55769	0.379011759	-285.43597	TRUE
ENSG00000002822	MAD1L1	0.133421	0.0054082	-0.085182	-0.276868509	-2213.90136	TRUE
ENSG00000002919	SNX11	0.112491	6.6101e-07	0.80095	0.270606697	-21.28332	FALSE
ENSG00000003056	M6PR	0.27165	0.30754	0.99886	0.459456397	-1471.06525	TRUE
ENSG00000003137	CYP26B1	0.242876	0.98609	0.94815	-0.785005447	-1534.97353	TRUE
ENSG00000003393	ALS2	0.205108	0.40988	2.1182	2.155938739	-476.17155	FALSE
ENSG00000003402	CFLAR	0.376345	0.78584	2.5722	0.093786964	-167.83206	TRUE
ENSG00000003436	TFPI	0.180675	0.55504	0.83077	-0.269694467	-39.81837	TRUE
ENSG00000003987	MTMR7	0.136359	4.6653e-12	-1.6479	1.739228078	-760.94421	FALSE
ENSG00000004059	ARF5	0.671452	0.87412	2.4055	0.18547512	-3.32434	FALSE
ENSG00000004399	PLXND1	0.317004	0.688	3.6234	-1.231566181	-2739.76702	TRUE
ENSG00000004478	FKBP4	0.25686	0.014516	-0.003237	-0.391528305	-145.4406	TRUE
ENSG00000004487	KDM1A	0.583654	0.999	4.758	1.13381549	-22.58422	TRUE
ENSG00000004700	RECQL	0.047558	0.024278	0.093264	0.073642932	-602.74519	FALSE
ENSG00000004939	SLC4A1	0.267995	0.79885	1.6488	-0.659884428	-702.26691	TRUE
ENSG00000004948	CALCR	0.096759	2.402e-05	0.5483	0.599573007	-61.05178	TRUE
ENSG00000004961	HCCS	0.431439	0.89774	1.2044	-0.797735907	-16.98395	FALSE
ENSG00000004975	DVL2	0.168567	0.016556	0.42394	0.147532203	-215.16746	TRUE
ENSG00000005007	UPF1	0.579659	1	5.7228	2.440066549	-41.94856	TRUE
ENSG00000005100	DHX33	0.157958	5.9322e-07	0.61231	-0.179868099	-2125.04472	FALSE
ENSG00000005156	LIG3	0.196633	0.092719	0.77152	1.18008538	-136.74536	TRUE
ENSG00000005194	CIAPIN1	0.206974	0.0092982	0.81605	-0.211743081	-300.58485	TRUE
ENSG00000005339	CREBBP	0.582242	0.98881	0.86024	4.226101807	-350.49854	TRUE
ENSG00000005421	PON1	0.146044	1.1575e-08	0.7872	-1.044013349	-1431.12238	FALSE
ENSG00000005436	GCFC2	0.098353	1.7456e-06	-0.65566	-2.247368129	-2091.71134	FALSE
ENSG00000005469	CROT	0.029486	3.0962e-21	-0.0072327	-0.692372848	-169.89771	FALSE
ENSG00000005483	KMT2E	0.279828	0.96131	0.95261	3.121618628	-397.35924	TRUE
ENSG00000005486	RHBDD2	0.128629	0.24997	0.609	0.646902421	-34.93225	FALSE
ENSG00000005700	IBTK	0.314076	0.0079531	2.4526	0.709718885	-1718.28989	FALSE
ENSG00000005844	ITGAL	0.222924	0.42745	0.73456	1.573014255	-1961.99344	FALSE
ENSG00000005882	PDK2	0.237149	0.74601	2.0263	0.267639601	-35.04029	FALSE
ENSG00000005884	ITGA3	0.251824	0.046456	0.86847	-0.090205564	-1443.34738	TRUE
ENSG00000005889	ZFX	0.576473	0.99523	3.3974	0.500368058	-41.69961	TRUE
ENSG00000006016	CRLF1	0.115963	0.0018548	0.507	0.099099141	-3122.31046	TRUE
ENSG00000006071	ABCC8	0.295757	0.0013137	2.1297	2.30665036	-407.27264	FALSE
ENSG00000006125	AP2B1	0.651291	0.032366	5.2722	1.477821378	-7.40151	FALSE
ENSG00000006194	ZNF263	0.263454	0.0025859	-0.083273	0.078955478	-69.14472	FALSE
ENSG00000006377	DLX6	0.382598	0.84293	1.7424	-0.090691532	-1210.09882	TRUE
ENSG00000006432	MAP3K9	0.185109	0.21619	0.93522	0.501345764	-319.51976	FALSE
ENSG00000006530	AGK	0.071054	2.7899e-07	0.86914	-0.375753348	-104.35672	FALSE
ENSG00000006625	GGCT	0.068189	0.00062782	0.060462	-0.114745473	-11.24177	FALSE
ENSG00000006638	TBXA2R	0.109952	0.052469	0.1781	-0.656453753	-164.53131	FALSE
ENSG00000006695	COX10	0.149824	0.15669	-0.051862	-0.572098044	-5896.38929	FALSE
ENSG00000006704	GTF2IRD1	0.280501	0.81116	2.7965	1.304287838	-101.42808	TRUE
ENSG00000006712	PAF1	0.458489	2.6493e-05	0.83742	0.227809585	-45.70516	FALSE
ENSG00000006756	ARSD	0.177965	0.0029402	0.28345	-1.938872493	-612.96979	FALSE
ENSG00000007168	PAFAH1B1	0.656821	0.89661	3.6662	0.48804202	-4.95413	TRUE
ENSG00000007174	DNAH9	0.098901	2.5755e-15	0.53708	-2.029140443	-11534.8129	FALSE
ENSG00000007314	SCN4A	0.281241	0.63168	1.7113	0.014940635	-461.6219	TRUE
ENSG00000007341	ST7L	0.040184	7.3275e-09	0.76395	-0.690187291	-1731.11998	FALSE
ENSG00000007392	LUC7L	0.540691	0.61166	0.94634	-0.136452141	-47.06421	FALSE
ENSG00000007402	CACNA2D2	0.344439	0.99997	3.1005	1.347075332	-590.52071	TRUE
